   Elapsed time;   ECG1
      (seconds);   (mV)
          0.000;  0.160
          0.008;  0.180
          0.016;  0.170
          0.023;  0.180
          0.031;  0.180
          0.039;  0.170
          0.047;  0.170
          0.055;  0.130
          0.062;  0.130
          0.070;  0.100
          0.078;  0.060
          0.086;  0.040
          0.094;  0.010
          0.102; -0.010
          0.109; -0.020
          0.117; -0.020
          0.125; -0.020
          0.133; -0.030
          0.141;  0.000
          0.148;  0.000
          0.156;  0.000
          0.164;  0.020
          0.172;  0.030
          0.180;  0.040
          0.188;  0.030
          0.195;  0.070
          0.203;  0.050
          0.211;  0.060
          0.219;  0.050
          0.227;  0.050
          0.234;  0.050
          0.242;  0.050
          0.250;  0.060
          0.258;  0.050
          0.266;  0.050
          0.273;  0.030
          0.281;  0.030
          0.289;  0.030
          0.297;  0.020
          0.305;  0.020
          0.312;  0.020
          0.320;  0.010
          0.328;  0.000
          0.336;  0.000
          0.344;  0.000
          0.352; -0.010
          0.359;  0.000
          0.367; -0.010
          0.375; -0.010
          0.383; -0.010
          0.391; -0.010
          0.398; -0.010
          0.406; -0.020
          0.414; -0.020
          0.422; -0.010
          0.430; -0.010
          0.438;  0.000
          0.445;  0.060
          0.453;  0.050
          0.461;  0.090
          0.469;  0.110
          0.477;  0.160
          0.484;  0.130
          0.492;  0.050
          0.500;  0.030
          0.508; -0.090
          0.516; -0.120
          0.523; -0.090
          0.531; -0.080
          0.539; -0.090
          0.547; -0.080
          0.555; -0.080
          0.562; -0.070
          0.570; -0.080
          0.578;  0.090
          0.586;  0.450
          0.594;  0.790
          0.602; -1.170
          0.609; -1.910
          0.617; -1.640
          0.625; -1.280
          0.633; -0.520
          0.641; -0.150
          0.648; -0.030
          0.656; -0.030
          0.664;  0.010
          0.672;  0.030
          0.680;  0.050
          0.688;  0.060
          0.695;  0.080
          0.703;  0.090
          0.711;  0.100
          0.719;  0.130
          0.727;  0.140
          0.734;  0.160
          0.742;  0.150
          0.750;  0.180
          0.758;  0.200
          0.766;  0.220
          0.773;  0.220
          0.781;  0.260
          0.789;  0.280
          0.797;  0.280
          0.805;  0.300
          0.812;  0.290
          0.820;  0.290
          0.828;  0.270
          0.836;  0.240
          0.844;  0.210
          0.852;  0.170
          0.859;  0.130
          0.867;  0.100
          0.875;  0.050
          0.883;  0.030
          0.891;  0.040
          0.898;  0.050
          0.906;  0.040
          0.914;  0.050
          0.922;  0.060
          0.930;  0.060
          0.938;  0.060
          0.945;  0.060
          0.953;  0.050
          0.961;  0.040
          0.969;  0.070
          0.977;  0.060
          0.984;  0.070
          0.992;  0.060
          1.000;  0.080
          1.008;  0.080
          1.016;  0.080
          1.023;  0.090
          1.031;  0.100
          1.039;  0.100
          1.047;  0.090
          1.055;  0.090
          1.062;  0.090
          1.070;  0.080
          1.078;  0.070
          1.086;  0.070
          1.094;  0.060
          1.102;  0.050
          1.109;  0.050
          1.117;  0.050
          1.125;  0.020
          1.133;  0.040
          1.141;  0.030
          1.148;  0.010
          1.156;  0.010
          1.164;  0.000
          1.172;  0.010
          1.180;  0.000
          1.188;  0.000
          1.195;  0.000
          1.203;  0.000
          1.211; -0.020
          1.219; -0.010
          1.227; -0.010
          1.234; -0.020
          1.242; -0.020
          1.250; -0.020
          1.258; -0.020
          1.266;  0.020
          1.273;  0.020
          1.281;  0.060
          1.289;  0.060
          1.297;  0.140
          1.305;  0.100
